publication_id,publication_type,is_included,is_itaukei_associated,linked_provinces,used_non_provincial_flag,used_unsure_flag,verification_state,notes
tawaketini_pacific_2013,Master's Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
pickering-martin_na_2021,Master's Thesis,True,False,,False,False,,
tagicakibau_gender_2018,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
tausere_study_1990,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
ratuva_aid_1995,Master's Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
koto_flash_2014,Master's Thesis,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
thornely_fijian_1979,PhD Thesis,True,False,,False,False,,
whitelaw_people_1966,PhD Thesis,True,False,,False,False,,
turner_womens_1986,PhD Thesis,True,False,,False,False,,
toren_symbolic_1986,PhD Thesis,True,False,,False,False,,
vunicagi_social_2016,Master's Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
korovavala_politics_1999,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
thompson_na_1991,Master's Thesis,True,False,,False,False,,
vuki_long_1994,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
fukofuka_editorial_2025,Journal Article,True,True,,False,False,,
fukofuka_indigenous_2023,Journal Article,True,True,,False,False,,
finau_accounting_2023,Journal Article,True,True,,False,False,,
finau_agents_2019,Journal Article,True,True,,False,False,,
finau_varieties_2019,Journal Article,True,True,,False,False,,
kant_internet_2018,Journal Article,True,True,,False,False,,
cox_disaster_2020,Journal Article,True,True,,False,False,,
cox_disaster_2018,Journal Article,True,True,,False,False,,
titifanue_digital_2018,Journal Article,True,True,,False,False,,
titifanue_11_2020,Journal Article,True,True,,False,False,,
scobie_land_2024,Journal Article,True,True,Bua,False,False,verified,
wangchuk_middle_2024,Journal Article,True,True,,False,False,,
scobie_pacific_2021,Book Chapter,True,True,,False,False,,
rika_power_2016,Journal Article,True,True,,False,False,,
norris_compensatory_2024,Journal Article,True,True,,False,False,,
larson_piecemeal_2023,Journal Article,True,True,,False,False,,
morrison_interrogating_2024,Journal Article,True,True,,False,False,,
finau_coastal_2023,Book Chapter,True,True,,False,False,,
finau_old_2022,Journal Article,True,True,,False,False,,
finau_bartering_2022,Book Chapter,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
finau_resistance_2023,Journal Article,True,True,Bua,False,False,verified,
finau_grappling_2024,Book Chapter,True,True,,False,False,,
finau_imagining_2020,Journal Article,True,True,,False,False,,
naisilisili_balawariki_2009,Report,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
anantharajah_toward_2023,Journal Article,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
chand_police_2024,Journal Article,True,False,,False,False,,
chatterjee_climate_2022,Book Chapter,True,True,,False,False,,
kundra_tourist_2022,Journal Article,True,True,Ba,False,False,verified,
nabobo_education_1995,Journal Article,True,False,,False,False,,
nabobo-baba_transformations_2012,Journal Article,True,False,,False,False,,
nabobo-baba_knowing_2006,Book,True,True,Tailevu,False,False,verified,
tuimavana_teachers_2017,Journal Article,True,False,,False,False,,
tuimavana_concept_2020,Journal Article,True,False,,False,False,,
solo_assessment_2023,Journal Article,True,True,,False,False,,
shalvina_effects_2022,Journal Article,True,True,,False,False,,
lako_phytochemicals_2021,PhD Thesis,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
lako_local_2023,Journal Article,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
lako_dietary_2001,Journal Article,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
lako_phytochemical_2006,Journal Article,True,True,Tailevu,False,False,verified,
tomisaka_dietary_2002,Journal Article,True,True,,False,False,,
pasinszki_advances_2020,Journal Article,True,True,,False,False,,
morris_supply_2014,Journal Article,True,True,,False,False,,
holbrook_impacts_2022,Journal Article,True,True,,False,False,,
lako_dietary_2001-1,Journal Article,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
lako_phytochemical_2007,Journal Article,True,True,,False,False,,
tiko_indigenous_2015,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
stoeckl_governance_2025,Journal Article,True,True,,False,False,,
stoeckl_value_2024,Journal Article,True,True,,False,False,,
puamau_affirmative_1999,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
dakunivosa_accountability_2009,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
meo_developing_1989,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
dewa_use_1988,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
panapasa_sociable_2000,PhD Thesis,True,False,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
tavola_fijis_1980,Master's Thesis,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
naca_freshwater_2014,Master's Thesis,True,True,Naitasiri; Serua,False,False,verified,
tagivakatini_jnr_village_2013,Master's Thesis,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
veisa_effects_2019,Master's Thesis,True,True,,False,False,,
tuvuki_vatu-dei_2023,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
vuli_pains_2021,Master's Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
rika_reputational_2019,Journal Article,True,True,,False,False,,
kubiszewski_cascading_2025,Journal Article,True,True,,False,False,,
finau_social_2018,Journal Article,True,True,,False,False,,
nasalo_assessing_2023,Master's Thesis,True,True,Rewa,False,False,verified,
rika_accounting_2008,Journal Article,True,True,Namosi,False,False,verified,
floyd_internet_2002,Book Chapter,True,False,,False,False,,
williams_politics_1998,PhD Thesis,True,False,,False,False,verified,verified Fiji rows exist but no province recorded
namosimalua_rural_2010,Master's Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
taylor_whole_2012,Book Chapter,True,False,,False,False,,
loga_employee_2018,Master's Thesis,True,True,Fiji - no province specified,True,False,verified,
parker_whose_2024,Journal Article,True,False,,False,False,,
parker_gender_2022,Journal Article,True,True,,False,False,,
kanainabogi_performance_2015,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
finau_accounting_2020,PhD Thesis,True,True,,False,False,,
varo_earthquake_2019,Journal Article,True,False,,False,False,,
ginigini_chemodiversity_2019,Journal Article,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
ginigini_analysis_2012,Master's Thesis,True,True,,False,False,,
caze_co-designing_2023,Journal Article,True,True,,False,False,,
varo_demarcation_2019,Journal Article,True,False,,False,False,,
samuwai_thinking_2019,Journal Article,True,True,,False,False,,
roman-ponce_six_2020,Journal Article,True,True,,False,False,,
rambaran_morphological_2021,Journal Article,True,True,,False,False,,
mascuch_antibiotic_2023,Journal Article,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
letzel_genomic_2017,Journal Article,True,True,,False,False,,
hirsch_centering_2024,Journal Article,True,False,,False,False,,
musudroka_school_2012,Master's Thesis,True,True,Fiji - no province specified,True,False,verified,
nailatikau_fiji_2013,Master's Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
sakai_socio-economic_2010,Master's Thesis,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
sakai_itaukei_2024,PhD Thesis,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
rabo_investigation_2014,Master's Thesis,True,True,Rewa,False,False,verified,
kitolelei_challenges_2014,Report,True,True,,False,False,,
mataitoga_ono-i-lau_2010,Master's Thesis,True,True,Lau,False,False,verified,
vunibola_want_2023,Journal Article,True,True,,False,False,,
see_absences_2024,Journal Article,True,True,,False,False,,
leopold_evaluation_2009,Journal Article,True,True,,False,False,,
young_land_2001,Journal Article,True,False,,False,False,,
fache_draw_2022,Journal Article,True,False,,False,False,verified,verified Fiji rows exist but no province recorded
tagicakiverata_veivosaki_2018,Journal Article,True,True,,False,False,,
rokocakau_flywheel_2019,Master's Thesis,True,False,,False,False,,
veitata_study_2023,PhD Thesis,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
eminhizer_integrated_2008,PhD Thesis,True,False,,False,False,,
sofer_twenty_2009,Journal Article,True,False,Kadavu,False,False,verified,
mangubhai_achieving_2019,Journal Article,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
nelson_isa_2009,Book Chapter,True,False,,False,False,,
niwa_early_2006,Journal Article,True,False,,False,False,,
hulkenberg_cost_2015,Journal Article,True,False,,False,False,,
roche_characteristics_2020,Journal Article,True,False,,False,False,,
singh_role_2022,Journal Article,True,False,,False,False,,
mcandrews_algae_2019,Journal Article,True,False,,False,False,,
avtar_impacts_2021,Journal Article,True,True,Ba; Rewa,False,False,verified,
bricker_ecotourism_2020,Journal Article,True,False,,False,False,,
lee_webcam_2024,Journal Article,True,True,,False,False,,
crawford_sustaining_2014,Journal Article,True,True,,False,False,,
chang_rethinking_2024,Journal Article,True,True,,False,False,,
chang_unlocking_2024,Journal Article,True,True,,False,False,,
cammock_revisioning_2023,Journal Article,True,True,,False,False,,
dumaru_communitybased_2010,Journal Article,True,False,,False,False,,
cammock_awareness_2018,Journal Article,True,True,,False,False,,
tarai_social_2024,Journal Article,True,True,,False,False,,
maiono_vakumuni_2024,Journal Article,True,True,Fiji - no province specified,True,False,verified,
leweniqila_food_2020,Journal Article,True,True,Cakaudrove,False,False,verified,
mcmichael_thick_2020,Journal Article,True,False,,False,False,,
tarai_social_2023,Journal Article,True,True,,False,False,,
morrison_preliminary_2009,Book Chapter,True,False,,False,False,verified,verified Fiji rows exist but no province recorded
morrison_botanical_2009,Book Chapter,True,True,,False,False,,
naikatini_survey_2017,Journal Article,True,True,Naitasiri,False,False,verified,
morrison_cultural_2009,Book Chapter,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
enari_experiences_2025,Journal Article,True,False,,False,False,,
titifanue_climate_2017,Journal Article,True,True,,False,False,,
farrelly_talanoa_2014,Journal Article,True,True,,False,False,,
leweniqila_sa_2023,Journal Article,True,True,Ra,False,False,verified,
finau_perceptions_2023,Journal Article,True,True,,False,False,,
raisele_climate_2025,Journal Article,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
raisele_indigenous_2023,Journal Article,True,True,Ba,False,False,verified,
rokolekutu_interrogating_2024,Journal Article,True,True,,False,False,,
nabobo-baba_decolonising_2008,Journal Article,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
ravuvu_facade_1991,Book,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
ravuvu_development_1988,Book,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
ravuvu_vaka_1983,Book,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
ravuvu_fijian_1987,Book,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
varo_gis_2021,Book Chapter,True,False,,False,False,,
varo_landslide_2019,Journal Article,True,False,,False,False,,
wallis_how_2024,Book Chapter,True,True,,False,False,,
ratuva_coerced_2012,Book Chapter,True,True,,False,False,,
ratuva_military_2011,Journal Article,True,True,,False,False,,
ratuva_ethnicity_2014,Journal Article,True,True,,False,False,,
ratuva_interface_2015,Journal Article,True,True,,False,False,,
korovulavula_framework_2005,Journal Article,True,True,,False,False,,
ratuva_politics_2013,Book,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
ratuva_vakatorocaketaki_2010,Journal Article,True,True,,False,False,,
ratuva_economic_2002,Journal Article,True,True,,False,False,,
ratuva_protectionism_2015,Journal Article,True,True,,False,False,,
korovulavula_peripherality_2020,Journal Article,True,True,,False,False,,
lagi_curui_2023,Journal Article,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
keppel_conservation_2012,Journal Article,True,True,,False,False,,
gardner_sport_2025,Journal Article,True,False,,False,False,,
gardiner_recreating_2022,Journal Article,True,True,,False,False,,
enari_indigenising_2024,Journal Article,True,False,,False,False,,
dwipayanti_inclusive_2022,Journal Article,True,True,,False,False,,
deans_engaging_2024,Journal Article,True,False,,False,False,,
dawson_covid-19_2021,Journal Article,True,True,,False,False,,
chang_progress_2022,Journal Article,True,True,,False,False,,
cammock_reflections_2024,Journal Article,True,True,,False,False,,
bertrand-protat_prevalence_2023,Journal Article,True,True,,False,False,,
aporosa_is_2011,Journal Article,True,True,,False,False,,
mcmichael_planned_2019,Journal Article,True,False,,False,False,,
kumar_adaptation_2020,Book Chapter,True,True,,False,False,,
warrick_pacific_2017,Journal Article,True,False,,False,False,,
myers_climate_2020,Book Chapter,True,False,,False,False,,
bene_is_2016,Journal Article,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
lomavatu_postharvest_2024,Journal Article,True,True,Ba; Ra; Tailevu; Rewa,False,False,verified,
nunn_traditional_2024,Journal Article,True,True,,False,False,,
nelson_perceptions_2022,Journal Article,True,False,,False,False,,
glaus_genetic_2024,Journal Article,True,False,,False,False,,
vunibola_reimagining_2024,Journal Article,True,True,,False,False,,
lagi_covid19_2020,Journal Article,True,False,,False,False,,
frydenberg_integration_2017,Book Chapter,True,True,,False,False,,
nunn_peripherality_2019,Journal Article,True,True,,False,False,,
francis_key_2023,Journal Article,True,True,,False,False,,
nasim_understanding_2023,Journal Article,True,True,,False,False,,
nussey_building_2022,Journal Article,True,True,,False,False,,
rolleston_aiming_2023,Journal Article,True,True,,False,False,,
meo-sewabu_pacific_2017,Report,True,True,,False,False,,
bartley_powhiri_2018,Book Chapter,True,True,,False,False,,
scheyvens_business_2020,Journal Article,True,True,,False,False,,
saunders_consumer_2021,Journal Article,True,True,,False,False,,
meo-sewabu_na_2016,Journal Article,True,True,,False,False,,
eslamian_indigenous_2023,Book Chapter,True,True,,False,False,,
salinger_people_2024,Journal Article,True,True,,False,False,,
salinger_when_2024,Journal Article,True,True,,False,False,,
nelson_understanding_2022,Journal Article,True,False,,False,False,,
keppel_microhabitat_2011,Journal Article,True,True,,False,False,,
scheyvens_indigenous_2017,Journal Article,True,True,,False,False,,
nunn_vuniivilevu_2006,Journal Article,True,False,,False,False,,
morrison_cultural_2009-1,Book Chapter,True,False,,False,False,,
nelson_information_2022,Journal Article,True,False,,False,False,,
jupiter_transforming_2024,Journal Article,True,True,,False,False,,
sterling_creating_2020,Journal Article,True,True,Fiji - no province specified,True,False,verified,
keppel_botanical_2005,Journal Article,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
morrison_preliminary_2009-1,Book Chapter,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
ravuiwasa_temperature-dependent_2012,Journal Article,True,True,,False,False,,
ratuva_neighbours_2019,Book Chapter,True,True,,False,False,,
ratuva_politics_2022,Journal Article,True,True,,False,False,,
tan_jasmonate-induced_2012,Journal Article,True,True,,False,False,,
tan_methyl_2011,Journal Article,True,True,,False,False,,
penteado_concept_2024,Book Chapter,True,True,,False,False,,
ratuva_commodifying_2009,Journal Article,True,True,,False,False,,
ratuva_man_2019,Book Chapter,True,True,,False,False,,
ratuva_failed_2014,Journal Article,True,True,,False,False,,
patay_catalysing_2024,Journal Article,True,True,,False,False,,
reeve_scaling_2023,Journal Article,True,True,,False,False,,
ravulo_queer_2024,Journal Article,True,False,,False,False,,
crawford_is_2015,Journal Article,True,False,,False,False,,
deans_i_2024,Journal Article,True,False,,False,False,,
meki_how_2023,Journal Article,True,True,,False,False,,
tamata_fijian_2003,Journal Article,True,True,,False,False,,
sakai_assessing_2023,Journal Article,True,True,,False,False,,
thow_regional_2022,Journal Article,True,True,,False,False,,
hardin_developing_2023,Journal Article,True,True,,False,False,,
vada_welcome_2023,Journal Article,True,True,,False,False,,
taylor_perspectives_2023,Journal Article,True,True,,False,False,,
ravuvu_beyond_2016,Book Chapter,True,True,,False,False,,
wong_exploring_2024,Journal Article,True,True,,False,False,,
vada_influence_2019,Journal Article,True,True,,False,False,,
vada_influence_2022,Journal Article,True,True,,False,False,,
kondja_exploring_2024,Journal Article,True,True,,False,False,,
ma_inspiring_2020,Journal Article,True,True,,False,False,,
vada_role_2019,Journal Article,True,True,,False,False,,
serafeimidis_sigmoid_2016,Journal Article,True,False,,False,False,,
vakamacawai_tagata_2025,Report,True,True,,False,False,,
ravulo_deconstructing_2024,Book Chapter,True,True,,False,False,,
vada_positive_2020,Journal Article,True,True,,False,False,,
vada_route_2023,Journal Article,True,True,,False,False,,
jana_covid-19_2022,Book Chapter,True,False,,False,False,,
vakamacawai_amoebic_2020,Journal Article,True,False,,False,False,,
mcgregor_enhancing_2025,Journal Article,True,True,,False,False,,
waqairatu_genetic_2012,Journal Article,True,False,,False,False,,
lal_gift_2021,Journal Article,True,False,,False,False,,
vunibola_islands_2022,Journal Article,True,True,,False,False,,
vunibola_indigenous_2022,Journal Article,True,True,,False,False,,
mika_te_2021,Book,True,True,,False,False,,
hallak_indigenous_2024,Book Chapter,True,True,,False,False,,
huntington_how_2017,Journal Article,True,True,,False,False,,
drew_stakeholder_2024,Journal Article,True,True,,False,False,,
veitayaki_partnerships_2005,Journal Article,True,True,,False,False,,
aporosa_new_2015,Journal Article,True,True,,False,False,,
aporosa_grounding_2021,Journal Article,True,True,,False,False,,
hemi_imua_2021,Journal Article,True,True,,False,False,,
olson_priority_2010,Journal Article,True,True,,False,False,,
aporosa_traditional_2022,Journal Article,True,True,,False,False,,
ferguson_local_2022,Journal Article,True,True,,False,False,,
dawson_how_2021,Journal Article,True,False,,False,False,,
ide_periodontal_2011,Journal Article,True,False,,False,False,,
wilson_ratification_2007,Journal Article,True,False,,False,False,,
nishikawa_recent_2008,Journal Article,True,False,,False,False,,
wilson_recent_2006,Journal Article,True,False,,False,False,,
wallis_ordering_2024,Journal Article,True,True,,False,False,,
piovano_mixed_2019,Journal Article,True,True,Bua; Lomaiviti,False,False,verified,
tonumaipea_food_2021,Journal Article,True,False,,False,False,,
parr_fijian_2024,Journal Article,True,True,,False,False,,
brimacombe_new_2018,Journal Article,True,True,,False,False,,
gatiso_understanding_2025,Journal Article,True,True,,False,False,,
lovo_indigenous_2021,Journal Article,True,True,,False,False,,
meosewabu_cultural_2014,Journal Article,True,True,,False,False,,
crossley_quality_2017,Journal Article,True,True,,False,False,,
morrison_preliminary_2009-2,Book Chapter,True,False,,False,False,verified,verified Fiji rows exist but no province recorded
thow_political_2021,Journal Article,True,True,,False,False,,
alston_talanoa_2025,Book Chapter,True,False,,False,False,,
steven_resiliency_2021,Book Chapter,True,True,,False,False,,
vunibola_strategies_2023,Journal Article,True,True,,False,False,,
vunibola_revitalising_2019,Journal Article,True,True,,False,False,,
keppel_flora_2006,Journal Article,True,True,Macuata,False,False,verified,
vunidilo_mataisau_2024,Journal Article,True,True,,False,False,,
lin_ecological_2007,Journal Article,True,False,,False,False,,
nunn_koronivalu_2021,Journal Article,True,True,Bua,False,False,verified,
loganimoce_molecular_2025,Journal Article,True,False,,False,False,,
nayacakalou_fijian_1955,Journal Article,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
nayacakalou_fijian_1957,Journal Article,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
rokomatu_effects_2006,Journal Article,True,False,,False,False,,
baledrokadroka_super_2015,Journal Article,True,True,,False,False,,legacy Tagged Fiji? = Yes but no Research Geography row
mausio_south-south_2023,Journal Article,True,False,,False,False,,
tukana_baseline_2023,Journal Article,True,False,,False,False,,
albert_indicators_2016,Journal Article,True,True,,False,False,,
bolabola_changes_1978,Journal Article,True,False,,False,False,,
mausio_political_2002,Journal Article,True,False,,False,False,,
cammock_cultural_2023,Journal Article,True,True,,False,False,,
vave_urban-rural_2021,Journal Article,True,True,,False,False,,
vave_balancing_2023,Journal Article,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
vave_five_2022,Journal Article,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
vave_impacts_2024,Journal Article,True,True,,False,False,,
ravuvu_monitoring_2017,Journal Article,True,True,,False,False,,
kitolelei_fisherwomens_2022,Journal Article,True,True,,False,False,,
kitolelei_na_2021,Journal Article,True,True,,False,False,,
kitolelei_spatial_2022,Journal Article,True,True,,False,False,,
kitolelei_conservation_2022,Journal Article,True,True,Bua,False,False,verified,
aporosa_-mythologizing_2019,Journal Article,True,True,,False,False,,
stalio_ecosystem_2016,PhD Thesis,True,False,,False,False,,
reddy_indo-fijian_2020,PhD Thesis,True,False,,False,False,,
butler_integrating_2012,Journal Article,True,True,,False,False,,
aporosa_impact_2022,Journal Article,True,True,,False,False,,
cochrane_lapita_2007,Journal Article,True,False,,False,False,,
yabaki_placing_2016,Journal Article,True,False,,False,False,,
tomlinson_reflexivity_2006,Journal Article,True,False,,False,False,,
shivas_colletotrichum_2016,Journal Article,True,True,,False,False,,
nunn_human_2022,Journal Article,True,True,,False,False,,
kumar_identifying_2021,Journal Article,True,True,Lomaiviti,False,False,verified,
nunn_human_2005,Journal Article,True,False,,False,False,,
alfaro_faunal_2009,Journal Article,True,True,Nadroga/Navosa,False,False,verified,
murphy_fifteen_2021,Journal Article,True,True,,False,False,,
ban_effects_2023,Journal Article,True,False,,False,False,,
ogarra_national-level_2023,Journal Article,True,True,,False,False,,
van_putten_history_2023,Journal Article,True,True,,False,False,,
niesten_incentives_2013,Journal Article,True,True,,False,False,,
ravuvu_analysing_2021,Journal Article,True,True,,False,False,,
ravuvu_childhood_2020,Journal Article,True,True,,False,False,,
reeve_strengthening_2022,Journal Article,True,True,,False,False,,
harding_marine_2022,Journal Article,True,True,Kadavu,False,False,verified,
turner_declining_2007,Journal Article,True,True,Lau,False,False,verified,
mangubhai_fiji_2019,Book Chapter,True,False,,False,False,verified,verified Fiji rows exist but no province recorded
jenkins_hippichthys_2010,Journal Article,True,False,,False,False,,
barrington_improving_2016,Journal Article,True,True,,False,False,,
brewer_role_2023,Journal Article,True,False,,False,False,,
loganimoce_octopuses_2023,Journal Article,True,False,,False,False,,
win_tin_assessing_2022,Journal Article,True,True,,False,False,,
aporosa_kava_2020,Journal Article,True,True,,False,False,,
oman_professional_2009,Journal Article,True,False,,False,False,,
thow_food_2022,Journal Article,True,True,,False,False,,
wilson_respiratory_2008,Journal Article,True,True,,False,False,,
win_tin_baseline_2020,Journal Article,True,True,,False,False,,
sakai_insecurity_2015,Journal Article,True,True,,False,False,,
davis_isolation_2002,Journal Article,True,True,,False,False,,
piovano_diet_2020,Journal Article,True,True,Bua; Lomaiviti,False,False,verified,
marama_grouper_2024,Journal Article,True,True,Kadavu,False,False,verified,
knapman_indigenous_1976,Journal Article,True,False,,False,False,,
prince_spawning_2021,Journal Article,True,True,,False,False,verified,verified Fiji rows exist but no province recorded
glaus_characteristics_2024,Journal Article,True,False,,False,False,,
robertson_locally_2020,Journal Article,True,True,Kadavu,False,False,verified,
phillips_nutrition_2021,Journal Article,True,True,,False,False,,
thomas_why_2021,Journal Article,True,True,,False,False,,
morrison_freshwater_2009,Book Chapter,True,False,,False,False,,
oman_specialist_2009,Journal Article,True,False,,False,False,,
thow_protecting_2023,Journal Article,True,True,,False,False,,
adhikari_assessment_2024,Journal Article,True,True,,False,False,,
elliott_watered_2024,Journal Article,True,True,,False,False,,
