Publication ID / BibTeX Key,Title,Year,DOI,URL,Publication Type
finigan_proceedings_2019,Proceedings of the Pacific Postgraduate Symposium: Pacific Voices XVI,2019,,https://www.otago.ac.nz/pacific,Book
finigan_proceedings_2020,Proceedings of the Pacific Postgraduate Symposium: Pacific Voices XVII,2020,,https://www.otago.ac.nz/pacific,Book
vakaoti_special_2022,Special issue: Spaces and practices of Pacific thought and research,2022,,,Journal Article
gibbs_proceedings_2023,"Proceedings of the Sociology, Gender Studies & Criminology and Social & Community Work Postgraduate Symposium VII",2023,,,Book
gibbs_proceedings_2024,"Proceedings of the Te Taura Takata Sociology, Gender Studies & Criminology Postgraduate Symposium VIII",2024,,,Book
narsey_population_2010,Population and Development in the Pacific Islands: Accelerating the ICPD Programme of Action at 15,2010,,https://repository.usp.ac.fj/id/eprint/4639/,Book
bain_bavadra_1990,"Bavadra: Prime Minister, Statesman, Man of the People: Selection of Speeches and Writings, 1985–1989",1990,,https://cir.nii.ac.jp/crid/1971712334773357217,Book
puamau_pacific_2007,Pacific Voices: Teacher Education on the Move,2007,,,Book
puamau_best_2010,Best Practice in Pacific Education: Learning with PRIDE,2010,,https://repository.usp.ac.fj/id/eprint/2013/,Book
puamau_basics_2007,The Basics of Learning: Literacy and Numeracy in the Pacific,2007,,https://repository.usp.ac.fj/id/eprint/2382/,Book
puamau_early_2008,Early Childhood Care and Education in the Pacific,2008,,https://repository.usp.ac.fj/id/eprint/568/,Book
puamau_inclusive_2009,Inclusive Education in the Pacific,2009,,https://repository.usp.ac.fj/id/eprint/1271/,Book
puamau_educational_2005,Educational Planning in the Pacific: Principles and Guidelines,2005,,https://library.sprep.org/sites/default/files/74_2.pdf,Book
chalmers_educational_1999,Educational Research in New Times: Imagining Communities for Diversity and Inclusiveness,1999,,https://espace.library.uq.edu.au/view/UQ:146772,Book
kikau_wisdom_1981,The Wisdom of Fiji,1981,,https://catalogue.nla.gov.au/catalog/371275,Book
veitayaki_coastal_1997,Coastal Fisheries in the Tropical South Pacific: A Question of Sustainability,1997,,,Book
novaczek_pacific_2005,Pacific Voices: Equity and Sustainability in Pacific Island Fisheries,2005,,,Book
noauthor_notitle_nodate,,0,,,PhD Thesis
bogitini_raturi_oer_part1_2021,Open Educational Resources Part I: From Basics to the Big Picture,2021,,https://repository.usp.ac.fj/view/creators/Bogitini%3D3ALia_J%3D2EK%3D2ED%3D2E%3D3A%3D3A.html,Book Chapter
bogitini_raturi_oer_part2_2021,Open Educational Resources Part II: Experiences and Perspectives of New OER Users,2021,,https://repository.usp.ac.fj/view/creators/Bogitini%3D3ALia_J%3D2EK%3D2ED%3D2E%3D3A%3D3A.html,Book Chapter
bogitini_conservation_2011,Conservation of Fiji's Plactostylid land snails,2011,,https://repository.usp.ac.fj/view/creators/Bogitini%3D3ALia_J%3D2EK%3D2ED%3D2E%3D3A%3D3A.html,Conference Paper
barker_diversity_2016,"Diversity and current conservation status of Melanesian - New Zealand Placostylinae land snails (Gastropoda, Bothriembryontidae), with discussion of conservation imperatives, priorities and methodology issues",2016,,https://repository.usp.ac.fj/view/creators/Bogitini%3D3ALia_J%3D2EK%3D2ED%3D2E%3D3A%3D3A.html,Journal Article
brodie_documentation_2013,Documentation of Fiji's endemic and introduced land snail fauna,2013,,https://repository.usp.ac.fj/view/creators/Bogitini%3D3ALia_J%3D2EK%3D2ED%3D2E%3D3A%3D3A.html,Report
bulivou_novel_clustering_2022,A Novel Method of Clustering Using a Stochastic Approach,2022,10.1109/ACCESS.2022.3219457,https://doi.org/10.1109/ACCESS.2022.3219457,Journal Article
paea_kmeans_card_sorting_2021,Information Architecture: Using K-Means Clustering and the Best Merge Method for Open Card Sorting Data Analysis,2021,10.1093/iwc/iwac022,https://doi.org/10.1093/iwc/iwac022,Journal Article
paea_best_merge_card_sorting_2024,"Information Architecture: Using Best Merge Method, Category Validity, and Multidimensional Scaling for Open Card Sort Data Analysis",2024,10.1080/10447318.2022.2112077,https://doi.org/10.1080/10447318.2022.2112077,Journal Article
paea_emergency_remote_teaching_2024,Emergency Remote Teaching in Higher Education Institutes: A Taxonomy of Challenges Faced by First-Year Mathematics Students in the Pacific Region,2024,10.1109/ACCESS.2024.3351098,https://doi.org/10.1109/ACCESS.2024.3351098,Journal Article
kumar_wave_energy_fiji_2025,"Time-variations of wave energy and forecasting power availability at a site in Fiji using time-series, regression and ANN techniques",2025,10.1080/03036758.2024.2395910,https://doi.org/10.1080/03036758.2024.2395910,Journal Article
bulivou_cluster_optimization_2025,"Cluster Optimization for Exponential, Right-Triangular, and Uniformly Distributed Data",2025,10.1109/ACCESS.2025.3544830,https://doi.org/10.1109/ACCESS.2025.3544830,Journal Article
paea_racial_inequality_engineering_2026,Racial inequality in engineering education: a taxonomy of challenges faced by female engineering students in the Pacific region,2026,10.1080/03043797.2026.2624433,https://doi.org/10.1080/03043797.2026.2624433,Journal Article
paea_empirical_kmeans_initialization_2026,Empirical Comparison of K-Means Initialization Methods for Card Sorting Data Analysis,2026,10.1080/10447318.2026.2646433,https://doi.org/10.1080/10447318.2026.2646433,Journal Article
paea_card_sorting_educon_2024,Using Card Sorting to Redesign the Information Architecture of a University e-Learning Platform,2024,10.1109/EDUCON60312.2024.10578871,https://doi.org/10.1109/EDUCON60312.2024.10578871,Conference Paper
banivanua_consolidating_2005,Consolidating violence and colonial rule: discipline and protection in colonial Queensland,2005,10.1080/13688790500231053,https://doi.org/10.1080/13688790500231053,Journal Article
banivanua_violence_colonial_dialogue_2007,Violence and Colonial Dialogue: The Australian-Pacific Indentured Labor Trade,2007,,https://uhpress.hawaii.edu/title/violence-and-colonial-dialogue-the-australian-pacific-indentured-labor-trade/,Book
banivanua_thousand_miles_2008,“A thousand miles of cannibal lands”: imagining away genocide in the re-colonization of West Papua,2008,10.1080/14623520802447743,https://doi.org/10.1080/14623520802447743,Journal Article
banivanua_frontier_space_2009,"Frontier space and the Reification of the Rule of Law: Colonial Negotiations in the Western Pacific, 1870–74",2009,10.1080/13200968.2009.10854414,https://doi.org/10.1080/13200968.2009.10854414,Journal Article
banivanua_cannibalism_colonialism_2010,Cannibalism and colonialism: Charting colonies and frontiers in nineteenth-century Fiji,2010,10.1017/S0010417510000046,https://doi.org/10.1017/S0010417510000046,Journal Article
banivanua_belonging_country_2012,"Belonging to Country: Racialising Space and Resistance on Queensland's Transnational Margins, 1880–1900",2012,10.1080/1031461X.2011.645841,https://doi.org/10.1080/1031461X.2011.645841,Journal Article
banivanua_imperial_literacy_2013,Imperial literacy and indigenous rights: Tracing transoceanic circuits of a modern discourse,2013,10.22459/AH.37.2013.01,https://doi.org/10.22459/AH.37.2013.01,Journal Article
banivanua_shadowing_imperial_2015,Shadowing Imperial Networks: Indigenous Mobility and Australia's Pacific Past,2015,10.1080/1031461X.2015.1076012,https://doi.org/10.1080/1031461X.2015.1076012,Journal Article
banivanua_performing_cannibalism_2016,Performing Cannibalism in the South Seas,2016,,https://www.jstor.org/stable/j.ctt1q1crs3.26,Book Chapter
banivanua_stabilising_violence_2017,Stabilising Violence in Colonial Rule: Settlement and the Indentured Labour Trade in Queensland in the 1870s,2017,10.5263/labourhistory.113.0009,https://doi.org/10.5263/labourhistory.113.0009,Journal Article
banivanua_rhook_counter_networks_2018,Counter Networks of Empires: Reading unexpected people in unexpected places,2018,10.1353/cch.2018.0009,https://doi.org/10.1353/cch.2018.0009,Journal Article
dakuidreketi_teaching_science_fiji_2016,Teaching Science in Fiji,2016,,https://repository.usp.ac.fj/view/creators/Bakalevu=3ASalanieta=3A=3A.html,Book Chapter
bakalevu_melanesia_overview_2015,Melanesia: an overview,2015,,https://repository.usp.ac.fj/view/creators/Bakalevu=3ASalanieta=3A=3A.html,Book Chapter
bakalevu_rising_new_challenges_2010,"Rising to new challenges in education: lifelong learning, learning anywhere and anytime",2010,,https://repository.usp.ac.fj/view/creators/Bakalevu=3ASalanieta=3A=3A.html,Book Chapter
bakalevu_engendering_culturally_responsive_2009,Engendering culturally responsive teaching,2009,,https://repository.usp.ac.fj/view/creators/Bakalevu=3ASalanieta=3A=3A.html,Book Chapter
bakalevu_personal_images_teacher_2008,Personal images of a teacher,2008,,https://repository.usp.ac.fj/view/creators/Bakalevu=3ASalanieta=3A=3A.html,Book Chapter
bakalevu_building_bridges_2007,"Building bridges: at home I add, at school I multiply",2007,,https://repository.usp.ac.fj/view/creators/Bakalevu=3ASalanieta=3A=3A.html,Book Chapter
bakalevu_local_knowledge_wisdom_2007,Local knowledge and wisdom in Pacific teacher education,2007,,https://repository.usp.ac.fj/view/creators/Bakalevu=3ASalanieta=3A=3A.html,Book Chapter
bakalevu_regional_perspectives_ict_2005,Regional perspectives: current status and general trends of ICT in education in the Pacific,2005,,https://repository.usp.ac.fj/view/creators/Bakalevu=3ASalanieta=3A=3A.html,Book Chapter
bakalevu_tuitoga_fiji_ict_2003,Fiji: ICT use in education,2003,,https://repository.usp.ac.fj/view/creators/Bakalevu=3ASalanieta=3A=3A.html,Book Chapter
bakalevu_improving_practice_math_2007,Improving the practice of mathematics teachers in PICs: the role of reflection,2007,,https://repository.usp.ac.fj/view/creators/Bakalevu=3ASalanieta=3A=3A.html,Other
dayal_students_reflections_portfolio_2017,Students’ reflections on portfolio assessment in Mathematics in Fiji,2017,,https://repository.usp.ac.fj/view/creators/Bakalevu=3ASalanieta=3A=3A.html,Journal Article
bakalevu_narayan_continuing_education_tvet_2010,Continuing education & TVET: an alternative system at the University of the South Pacific,2010,,https://repository.usp.ac.fj/view/creators/Bakalevu=3ASalanieta=3A=3A.html,Journal Article
bakalevu_morrison_fiji_ict_teacher_training_2005,Fiji: implementation of ICT in teacher training,2005,,https://repository.usp.ac.fj/view/creators/Bakalevu=3ASalanieta=3A=3A.html,Report
bakalevu_soe_fcae_project_2009,The SOE-FCAE project: franchising the BED program,2009,,https://repository.usp.ac.fj/view/creators/Bakalevu=3ASalanieta=3A=3A.html,Other
bainivalu_characterization_hydrocarbons_2026,Characterization of Hydrocarbons and Microbial Degradation Potential in the Pacific WWII Shipwreck Oil,2026,10.2139/ssrn.7181518,https://ssrn.com/abstract=7181518,Unpublished
aporosa_kava_ethnocultural_2019,Kava and ethno-cultural identity in Oceania,2019,10.1007/978-981-13-0242-8_134-1,https://doi.org/10.1007/978-981-13-0242-8_134-1,Book Chapter
aporosa_decolonising_quantitative_2021,Decolonising quantitative methods within a Pacific research space to explore cognitive effects following kava use,2021,,https://hdl.handle.net/10289/14153,Journal Article
aporosa_tomlinson_kava_hangover_2014,Kava hangover and gold-standard science,2014,10.1353/ant.2014.0014,https://doi.org/10.1353/ant.2014.0014,Journal Article
yeo_mobile_app_2022,Mobile app development: Work-integrated learning collaborations with Māori and Fijian partners,2022,,https://hdl.handle.net/10289/14955,Journal Article
tun_xdr_pseudomonas_2024,An extensively drug-resistant Pseudomonas aeruginosa isolate from Myanmar,2024,10.1016/j.jgar.2023.11.004,https://doi.org/10.1016/j.jgar.2023.11.004,Journal Article
baleivanualala_tb_genomic_2025,Genomic epidemiology of Mycobacterium tuberculosis complex in Fiji,2025,,https://www.otago.ac.nz/microbiology-and-immunology/profile?id=3830,Conference Paper
baleivanualala_amr_surveillance_lessons_2025,Lessons learned from establishing antimicrobial resistance genomic surveillance in Fiji,2025,,https://www.otago.ac.nz/microbiology-and-immunology/profile?id=3830,Conference Paper
baledrokadroka_unintended_2012,The Unintended Consequences of Fiji's International Peacekeeping,2012,,http://hdl.handle.net/1885/18154,Journal Article
baledrokadroka_military_postcolonial_2013,The Military in Post-Colonial Fiji,2013,10.22459/PDSO.04.2013.03,https://doi.org/10.22459/PDSO.04.2013.03,Book Chapter
baledrokadroka_fijian_ethnonationalism_2009,Fijian Ethno-Nationalism,2009,10.22459/MTF.04.2009.28,https://doi.org/10.22459/MTF.04.2009.28,Book Chapter
baledrokadroka_fiji_military_elections_2016,The Fiji military and the 2014 elections,2016,10.22459/TPHS.03.2016.09,https://doi.org/10.22459/TPHS.03.2016.09,Book Chapter
alifereti_fijian_language_learning_2010,Fijian Language and Learning: The status of Fijian language as a subject in schools,2010,,https://www.researchgate.net/publication/308691989_The_status_of_Fijian_as_a_subject_in_schools,Book
alifereti_verticality_2013,An Investigation of Verticality in Tertiary Students’ Academic Writing Texts: A Systemic Functional Perspective,2013,10.7575/aiac.ijalel.v.2n.3p.163,https://doi.org/10.7575/aiac.ijalel.v.2n.3p.163,Journal Article
alifereti_improving_academic_writing_2017,Improving academic writing skills,2017,,https://repository.usp.ac.fj/id/eprint/10223/,Other
alifereti_metaphoric_noun_variants_2019,Metaphoric Noun Variants and Modification Types in Undergraduate ESL Students’ Academic Writing Texts,2019,10.7575/aiac.ijalel.v.8n.3p.46,https://doi.org/10.7575/aiac.ijalel.v.8n.3p.46,Journal Article
alifereti_indigenous_knowledge_woven_2020,Analysing Indigenous Knowledge Woven in Cultural Texts,2020,10.1080/14442213.2020.1844285,https://doi.org/10.1080/14442213.2020.1844285,Journal Article
thaman_ba_energy_needs_1979,Energy needs and forest resources of small islands,1979,,,Conference Paper
bain_protective_labour_policy_1988,A protective labour policy? An alternative interpretation of early colonial labour policy in Fiji,1988,10.1080/00223348808572584,https://doi.org/10.1080/00223348808572584,Journal Article
bain_bavadra_1990,"Bavadra, Prime Minister, statesman, man of the people: selection of speeches and writings, 1985-1989",1990,,https://natlib.govt.nz/records/21917337,Book
emberson-bain_labour_and_gold_1994,Labour and Gold in Fiji,1994,,https://books.google.com/books?id=F7-wAAAAIAAJ,Book
emberson-bain_sustainable_development_1994,Sustainable Development or Malignant Growth? Perspectives of Pacific Island Women,1994,,,Book
emberson-bain_women_in_tonga_1998,Women in Tonga,1998,,https://www.adb.org/sites/default/files/institutional-document/32602/women-tonga.pdf,Report
balawanilotu_review_remembrance_2003,Review of Remembrance of Pacific Pasts: An Invitation to Remake History,2003,,https://www.jstor.org/stable/23722035,Book Review
baleidelabaci_racial_integration_2021,Racial Integration in Transition: A Magimagi Historical Assessment of the Methodist Church in Fiji’s Response to Identity and Race Issues in Fiji,2021,,https://ptc.ac.fj/theses/,Master's Thesis
goundar_doctoral_supervisory_feedback_2026,A qualitative study of doctoral students’ experiences with written supervisory feedback,2026,10.1177/14782103251381547,https://doi.org/10.1177/14782103251381547,Journal Article
nuttall_policy_financing_sea_transport_2014,Policy and financing—why is sea transport currently invisible in the search for a low carbon future for Pacific Island Countries?,2014,10.3389/fmars.2014.00020,https://doi.org/10.3389/fmars.2014.00020,Journal Article
newell_solodamu_surveys_2015,The Solodamu Surveys: determining fossil fuel use and sea transport need in a coastal village in Fiji,2015,10.3389/fmars.2015.00059,https://doi.org/10.3389/fmars.2015.00059,Journal Article
bola_sustainable_sea_transport_lomaiviti_2017,"Potential for sustainable sea transport: A case study of the Southern Lomaiviti, Fiji islands",2017,10.1016/j.marpol.2016.02.002,https://doi.org/10.1016/j.marpol.2016.02.002,Journal Article
boladuadua_cervical_cancer_screening_2011,Fijian women's perspectives on cervical cancer screening and supports and barriers to use of cervical screening services,2011,,https://www.otago.ac.nz/heppru/postgraduate,Master's Thesis
boladuadua_ditchburn_tobacco_use_2014,Tobacco Use 2012/13: New Zealand Health Survey,2014,,https://www.health.govt.nz/publications/tobacco-use-201213-new-zealand-health-survey,Report
howie_oxygen_treatment_solution_2020,The development and implementation of an oxygen treatment solution for health facilities in low and middle-income countries,2020,10.7189/jogh.10.020425,https://doi.org/10.7189/jogh.10.020425,Journal Article
mcallister_oxygen_concentrators_fiji_2021,Cost analysis and critical success factors of the use of oxygen concentrators versus cylinders in sub-divisional hospitals in Fiji,2021,10.1186/s12913-021-06687-8,https://doi.org/10.1186/s12913-021-06687-8,Journal Article
mortimer_living_with_asthma_2024,Living with Asthma in Low- and Middle-Income Countries in the Six WHO Regions,2024,10.1056/EVIDpp2300292,https://doi.org/10.1056/EVIDpp2300292,Journal Article
boladuadua_reimagining_global_health_2026,Re-imagining Global Health: perspectives from the next generation in the Pacific region,2026,10.1016/j.lanwpc.2025.101787,https://doi.org/10.1016/j.lanwpc.2025.101787,Journal Article
wright_covid_rheumatic_fever_inequities_2026,"The COVID-19 pandemic and acute rheumatic fever inequities, Aotearoa New Zealand, 2020–2022",2026,10.26635/6965.7303,https://doi.org/10.26635/6965.7303,Journal Article
hartman_hmpv_ai_an_children_2026,"105. Burden and Epidemiology of Human Metapneumovirus (hMPV) Acute Respiratory Infection (ARI) among American Indian and Alaska Native (AI/AN) Children <5 years of Age, November 2019-May 2024",2026,10.1093/ofid/ofaf695.040,https://doi.org/10.1093/ofid/ofaf695.040,Conference Paper
bolatagici_just_like_home_2010,Just Like Home: Suburban Realities and the Art of Lisa Hilli,2010,,https://www.artmonthly.org.au/issue-232-august-2010,Journal Article
buatava_footsteps_mosese_1996,"In the Footsteps of Mosese: The Foundation Years of Roman Catholic Catechists in Fiji, 1842–1893",1996,,https://elibrary.tnu.edu.to/bib/291,Book Chapter
kitolelei_fisherwomen_ocean_decade_2023,Contributions of fisherwomen’s indigenous fishing knowledge to the UN Decade of Ocean Science for Sustainable Development (2021–2030),2023,,https://spccfpstore1.blob.core.windows.net/digitallibrary-docs/files/65/65350e8e3985a3d448fbcfc579291c6d.pdf,Journal Article
kitolelei_climate_resilience_fiji_2024,"Assessing and advancing climate resilience in Fijian marine ecosystems, fisheries and fishing communities",2024,,https://www.researchgate.net/publication/384637786_Assessing_and_advancing_climate_resilience_in_Fijian_marine_ecosystems_fisheries_and_fishing_communities,Journal Article
dehm_ecological_traits_microplastic_2026,Considering ecological traits of fishes to understand microplastic ingestion across Pacific coastal fisheries,2026,10.1371/journal.pone.0339852,https://doi.org/10.1371/journal.pone.0339852,Journal Article
ford_community_informed_microplastic_2026,A community-informed microplastic exposure index based on Pacific Island fisheries: Integrating local knowledge with empirical data,2026,10.1017/cft.2026.10027,https://doi.org/10.1017/cft.2026.10027,Journal Article
cabenalevu_role_viwa_1988,The Role of Viwa in the Spreading of Christianity in Fiji,1988,,https://pcu.ac.fj/pcu-thesis/,Other Thesis
cabenalevu_analysis_viwa_2011,Analysis of the Social and Political Context of Fiji’s Early Mission History on Viwa,2011,,https://pcu.ac.fj/pcu-thesis/,Master's Thesis
cagi_pastoral_counselling_model_2009,Towards a Pastoral Counselling Model for Responding to the Challenges Experienced by Indigenous Fijian Youth on the Streets of Suva,2009,,https://ptc.ac.fj/theses/,Master's Thesis
cagilaba_financial_integration_south_pacific_2019,"Financial integration in open, small economies of the South Pacific: Extent, consequences and policy implications",2019,,https://www.griffith.edu.au/research/business/asia-institute/pacific-islands-centre-development-policy-research/working-papers,Report
cagilaba_correspondent_banking_vanuatu_2021,Recent Developments in Correspondent Banking Relationships in the Pacific Island Countries,2021,,https://www.elibrary.imf.org/view/journals/002/2021/208/article-A001-en.xml,Report
cagilaba_economic_diversification_vanuatu_2021,Promoting Economic Diversification in the Post-COVID Era,2021,,https://www.elibrary.imf.org/view/journals/002/2021/208/article-A001-en.xml,Report
cagilaba_nauru_trust_fund_2022,An Update on the Nauru Trust Fund,2022,,https://www.elibrary.imf.org/view/journals/002/2022/028/article-A001-en.xml,Report
cagilaba_long_term_growth_nauru_2022,Long Term Growth Opportunities for Nauru,2022,,https://www.elibrary.imf.org/view/journals/002/2022/028/article-A001-en.xml,Report
jayawardena_banking_integration_2022,"Banking Integration in Open, Small Economies of the Pacific Island Countries",2022,10.1515/apjri-2021-0004,https://doi.org/10.1515/apjri-2021-0004,Journal Article
cagilaba_post_covid_inflation_vanuatu_2023,Post-COVID-19 Inflation Dynamics in Vanuatu,2023,,https://www.elibrary.imf.org/view/journals/002/2023/115/article-A001-en.xml,Report
cagilaba_digital_money_vanuatu_2023,The Digital Money Landscape in Small Island Developing States: The Case of Vanuatu,2023,,https://www.elibrary.imf.org/view/journals/002/2023/115/article-A001-en.xml,Report
al_jarbou_cagilaba_financial_sector_nauru_2023,Financial Sector Development,2023,,https://www.elibrary.imf.org/view/journals/002/2023/376/article-A001-en.xml,Report
cagilaba_labor_migration_fiji_2024,Labor Migration in Fiji,2024,,https://www.elibrary.imf.org/view/journals/002/2024/159/article-A001-en.xml,Report
cagilaba_digital_financial_inclusion_solomon_2025,Enhancing Growth in Solomon Islands through Digital Financial Inclusion,2025,,https://www.elibrary.imf.org/view/journals/002/2025/049/article-A001-en.xml,Report
wilson_exploitation_habitat_2008,Exploitation and habitat degradation as agents of change within coral reef fish communities,2008,10.1111/j.1365-2486.2008.01696.x,https://doi.org/10.1111/j.1365-2486.2008.01696.x,Journal Article
wilson_habitat_degradation_2010,Habitat degradation and fishing effects on the size structure of coral reef fish communities,2010,10.1890/08-2205.1,https://doi.org/10.1890/08-2205.1,Journal Article
cakacaka_status_fin_fisheries_2010,"Status of fin fisheries in a Fijian traditional fishing ground, Kubulau District, Vanua Levu",2010,,https://www.researchgate.net/publication/284883699_Status_of_fin_fisheries_in_a_Fijian_traditional_fishing_ground_Kubulau_District_Vanua_Levu,Report
jupiter_single_intensive_harvest_2012,Effects of a single intensive harvest event on fish populations inside a customary marine closure,2012,10.1007/s00338-012-0888-x,https://doi.org/10.1007/s00338-012-0888-x,Journal Article
jupiter_provincial_icm_2012,Building Provincial-level Integrated Coastal Management Plans: Outcomes from the Vatu-i-Ra Seascape Stakeholders Workshop,2012,,https://library.wcs.org/en-us/Scientific-Research/Research-Publications/Publications-Library/ctl/view/mid/40093/pubid/DMX4081300000.aspx,Report
comley_taxonomic_survey_intensities_2007,An examination of the effectiveness of different taxonomic survey intensities represented by indicator fish species used in different methodologies in understanding the effects of marine protected area designation on fish population abundance in a Fijian context,2007,,https://repository.usp.ac.fj/id/eprint/2397/,Report
jupiter_catchments_streams_2012,"Effects of alteration to catchments and streams on freshwater fish communities of Vanua Levu, Fiji",2012,,https://fiji.wcs.org/Resources/Reports.aspx,Report
cawanikawai_indigenous_language_loss_2024,"Indigenous Language Loss Amongst Young Fijian Methodists in Wellington, New Zealand",2024,,https://pcu.ac.fj/pcu-thesis/,Master's Thesis
cokanauto_revisiting_habakkuk_2022,Re-visiting the Book of Habakkuk in the iTaukei Concepts of Colacola and Vakanomodi in Modern Fijian Society,2022,,https://pcu.ac.fj/pcu-thesis/,Master's Thesis
copeland_freshwater_ichthyofauna_2016,"Freshwater ichthyofauna of the Pacific-Asia Biodiversity Transect (PABITRA) Gateway in Viti Levu, Fiji",2016,10.1071/PC14928,https://doi.org/10.1071/PC14928,Journal Article
copeland_endemic_catadromous_prisma_2023,Exploring the Research Landscape of Endemic Catadromous Fishes: A Comprehensive Bibliometric Study and PRISMA Review,2023,10.3390/d15070825,https://doi.org/10.3390/d15070825,Journal Article
tuiwawa_white_black_list_2023,White and Black list of Fiji’s Invasive Alien Species,2023,,https://www.agriculture.gov.fj/documents/booklets/FAJ%20Vol%2060%20Issue%201%20July%202023%20Master%20File%20for%20Web.pdf,Journal Article
walsh_freshwater_tabus_2018,Freshwater Tabus and Protected Areas: An Overview of the Benefits and Costs of Implementation,2018,,https://www.researchgate.net/publication/344399211_Freshwater_tabus_and_protected_areas_An_overview_of_benefits_and_costs_of_implementation_for_practitioners,Report
bulamainaivalu_fiji_hibiscus_health_audit_2013,2011 Fiji Hibiscus Festival Health Audit,2013,,https://health.gov.fj/PDFs/Fiji%20Journal%20of%20Public%20Health%20Vol2Issue1.pdf,Journal Article
hawea_cultural_determinants_2021,Cultural Determinants of Fruits and Vegetable Consumption in Indigenous (iTaukei) Fijian Children: A Qualitative Study of Caregivers,2021,10.1177/10105395211038458,https://doi.org/10.1177/10105395211038458,Journal Article
naliva_nutrition_related_health_ageing_fiji_2024,Exploring the Nutrition-Related Health of the Ageing Population in Fiji: A Narrative Review,2024,10.1177/00469580241292433,https://doi.org/10.1177/00469580241292433,Journal Article
naliva_dietary_intake_older_fiji_2026,"Dietary Intake Among Community-Dwelling Adults Aged 55 Years and Older in the Central Division, Fiji",2026,10.3390/nu18142354,https://doi.org/10.3390/nu18142354,Journal Article
dakuidreketi_context_science_teaching_book_2006,Context of science teaching and learning in Fiji primary schools: a comparative study of ethnic Fijian and Indo-Fijian communities,2006,,https://repository.usp.ac.fj/view/subjects/LB1501.type.html,Book
dakuidreketi_ethnic_fijian_underachievement_2008,Ethnic Fijian students underachievement in science at school: causes and solutions,2008,,https://repository.usp.ac.fj/view/types/book%3D5Fsection.html,Book Chapter
dakuidreketi_highlights_career_2008,Highlights of my career,2008,,https://repository.usp.ac.fj/view/types/book%3D5Fsection.html,Book Chapter
dakuidreketi_oral_traditional_thought_2012,Oral/Traditional Thought versus Scientific/Eurocentric Thought: Implications on Indigenous Fijian and Indo-Fijian Science Learning and Achievement in Schools,2012,,https://www.aijcrnet.com/journals/Vol_2_No_10_October_2012/11.pdf,Journal Article
dakuidreketi_scientific_method_literacy_2014,Scientific Method and Advent of Literacy: towards Understanding Itaukei and Indo-Fijian School Students’ Differential Achievement in Science,2014,10.13189/ujer.2014.020201,https://doi.org/10.13189/ujer.2014.020201,Journal Article
dakuidreketi_making_education_functional_2014,Making education more functional for communities in Fiji: the case of the partners in the advancement of children's education programme,2014,,https://repository.usp.ac.fj/view/divisions/school%3D5Fof%3D5Feducation/2014.html,Book Chapter
reddy_mobile_learning_readiness_2017,Mobile Learning Readiness and ICT Competency: A Case Study of Senior Secondary School Students in the Pacific Islands,2017,,https://repository.usp.ac.fj/view/creators/Dakuidreketi%3D3AMesake_R%3D2E%3D3A%3D3A.html,Conference Paper
